Id,Text,Option1,Option2,Option3,Option4,Answer,Sure
698,Что относится к нехимическим зависимостям?,Зависимость от транквилизаторов,Зависимость от переедания,Зависимость от азартных игр,Зависимость от галлюциногенных грибов,2,TRUE
672,Драматический язык метода действия…,Интерпретирует прошлое,Имитирует эмоции,"Выражает единым языком разное (эмоции, мысли и т.д.)",,2,TRUE
709,"Основные характеристики личности, страдающей созависимостью",Низкая самооценка. Компульсивное желание контролировать жизнь других,"Наличие нескольких зависимостей у одного человека, например от алкоголя и от героина","Неумение выражать свои эмоции, контролировать поведение","Повышенное желание заботиться о себе, эгоцентризм",0,TRUE
666,Неотъемлемой частью семейной терапии является ...,Восприятие всех членов семьи единым целым,Внимание к индивидуальным способностям каждого члена семьи,Сочувствие терапевта кому-либо из членов семьи,,0,0
686,Консультирование это...,Прежде всего продажа совета как товара,"Прежде всего услуга, требующая прямого общения с клиентом и его ситуацией","Прежде всего диалог, где не всегда можно понять кто кого консультирует",,2,0
687,Социодрама …,Является художественным вымыслом,"Является 100%-ной импровизацией, абсолютно независящей от реальных ситуаций","Является ситуацией (сценой), собирающей все ситуации, взятые в данной реальности",,2,TRUE
653,Одним из эффективных способов реагирования на стадии принятия является,"Задать вопрос, с помощью которого можно уточнить чувства клиента",Выразить свое мнение по поводу ситуации,Дать совет,,0,TRUE
720,Подберите среди ответов наиболее соответствующий понятию ипохондрии:,прогрессирующая амнезия,уход в несуществующую болезнь,эйфория,,1,TRUE
694,Задачи психотерапии антивитальных тенденций при алкогольной зависимости,Проведение «кодирования»,Заключение антисуицидального контракта,Мотивация на отказ от отрицательных эмоциональных переживаний,"Работа с темой смерти, направлена на осознание негативных моментов жизненного пути, прояснения ""иллюзии бессмертия""",3,FALSE
680,Социометрия…,Занимается поиском меры общения людей через их темы здесь и теперь,Измеряет количественные статусы членов группы,"Утверждает. что притяжение людей делает более близким, а отталкивание – более дальним",,1,0
665,"Слушая рассказ клиента, терапевт:","Строго ограничивается рамками того, что сказано",Старается «читать между строк» и уловить подтекст,"Обдумывает, какой способ выхода из ситуации можно предложить",,1,TRUE
711,Психологическое консультирование - это...,"определенным образом организованная беседа, направленная на решение различных психологических проблем",доступная медицинская помощь,благотворительность,,0,TRUE
671,Психодрама отличается от социодрамы…,Количеством участников,Количеством ведущих,Количеством открываемых и встречающихся реальностей,В социодраме эмоции проявляются сильнее,2,FALSE
674,Социодрама это…,Имитация реальной ситуации,Концентрация реальности,Симуляция реальных событий,,0,0
702,Каковы негативные последствия работоголизма?,Нагнетание конфликтов связанных с продвижением по карьерной лестнице,Усиление конкуренции в коллективе,Снижение производительности труда,Снижение оплаты труда,2,FALSE
662,Подобраться к внутренним психическим процессам личности можно...,Тщательно разобравшись в содержании проблемы клиента,Задавая вопросы об истории семьи клиента,"Задавая вопросы о чувствах, убеждениях, ожиданиях клиента",,2,TRUE
655,"Переход от содержания к процессу можно обеспечить,","Постепенно отталкиваясь от конкретной проблемы, смещать фокус на дезадаптивные процессы",Внимательно изучив содержание конкретной проблемы,"Рассказав, что делал бы сам терапевт в данной ситуации, дав совет",,0,TRUE
660,Какая из ниже перечисленных техник способствует установлению контакта с клиентом,Заискивание,Подглядывание,Выслушивание,,2,TRUE
712,Контракт консультанта и клиента (пациента) имеет в виду:,договоренность о частоте сессий и длительности терапии,"определение регулярности проведения терапевтических сессий, стоимости работы и порядка оплаты","информированное согласие относительно цели, модальности, формата, длительности , стоимости и взаимных обязательств в ходе работы",,2,TRUE
700,Определяющий критерий интернет зависимости,"Расстройства сна, изменение режима сна",Хорошее самочувствие или эйфория от деятельности за компьютером,"Использование интернета продолжительное время, в течение которого наносится ущерб деятельности в реальной жизни",Ухудшение зрения,2,TRUE
676,Какие типы межличностных отношений выделил Морено?,Перенос и вчувствование,Перенос и теле,"Вчувствование, перенос и теле",,2,TRUE
651,Эффективное расстояние до клиента в процессе терапии,в поле зрения,вытянутая рука,чтобы хорошо слышать клиента,,1,FALSE
728,Общим и объединяющим для психологов-консультантов  разных психологических  школ является:,"роль, отводимая эмпатии при консультировании","роль, отводимая работе с переносом при консультировании","роль, отводимая суггестии, как основе аффекта",,0,TRUE
688,"Триадой Морено, показывающей за счет чего движется энергетика любого группового действия, является...","Спонтанность, мотивация, лидерство","Креативность, вдохновение, талант","Спонтанность, креативность, культурный консерв",,2,TRUE
658,"При изменении у клиента тембра голоса, громкости и/или темпа речи терапевту следует",Отметить это для себя,Проинформировать о своем наблюдении клиента,Попросить клиента говорить четко и размеренно,,1,0
656,"В.Сатир была убеждена, что внутренний источник энергии это:",Особенности восприятия,Тайные желания,Чувства,,2,TRUE
683,Консультант-клиентские отношения…,Регулируются только этическими принципами,Диктуются благом клиента («Клиент всегда прав»),"Регулируются обеими сторонами при условии, что за результат отвечают обе стороны",,2,TRUE
675,Метод действия движется…,От действия к символу,От символа к действию,Из слова создает воздействие,Действием создаёт противодействие,1,FALSE
725,Какие термины характерны для психосоматических расстройств?,абулия,амбивалентность,психосоматоз,,2,TRUE
707,Критерии любовной зависимости,"Ежедневное чтение любовных романов, просмотр любовных фильмов",Человек перестает заботиться о себе и своих потребностях,"Человек находится во власти переживания нереальных ожиданий в отношении другого человека, без критики к своему состоянию","Нарушение сна, появление сновидений на «любовную» тематику",1,0
685,Консультант должен соблюдать принцип :,Понимания клиентом процесса консультирования в любой момент процесса,"Полной ответственности за все, что происходит в заказе","Убедить клиента в том, что клиент отвечает за понимание",,0,FALSE
661,"Переплетая в вопросах прошлое и настоящее семьи, терапевт","Создает у ее членов чувство, что они повторяют жизненный путь своих предков",Создает у ее членов чувство уверенности и защищенности,Проверяет память членов семьи на произошедшие события,,0,0
673,Роль в игре...,Раскрывает человека,Маскирует (закрывает) человека,"И раскрывает, и маскирует (закрывает) человека",,0,0
719,Основные психосоматические теории:,теория стресса Ганса Селье,"бихевиоризм, психоанализ",всё перечисленное,,2,FALSE
657,"Техника «скульптурирование» используется, чтобы","Наглядно показать то, что удалось увидеть в поведении клиентов",Развить креативность у клиента,Улучшить физическое состояние клиента,,0,TRUE
689,Социодрама по Морено отличается от расстановки Хеллингеру...,"Степенью конкретизации материала, принесенного на сцену (в расстановке или в социодраме)",Источником реальности – человек (расстановка) или группа (социодрама),"Синтезом реальностей участников Встречи, а не компромиссом (расстановка)",,1,0
727,Активное слушание - это...,отражение вместо оценки,поощрение клиента в исследовании себя,всё перечисленное,,2,TRUE
696,Критерии игровой зависимости,Получение удовольствия от участия в азартной игре,Эпизоды азартных игр возобновляются не менее 2-х раз в год,"Невозможность контролировать интенсивное влечение к игре, прервать ее волевым усилием",Частые выигрыши в азартных играх,2,TRUE
717,Больной страдает ревматоидным артритом и нуждается в помощи ...,психотерапевта,психиатра,пульмонолога,,2,0
654,В технике «Карта семьи» вопросы охватывают временной период..,Жизни клиента,Трех поколений семьи клиента,Пяти поколений семьи клиента,,1,TRUE
726,Противопоказанием к психологическому консультированию является,расторможенность влечений,опасность суицида,всё перечисленное,,2,FALSE
697,Что относится к социальным последствиям болезней зависимости?,Изменение личности у зависимого человека,"Потеря работы, снижение профессионального статуса",Сужение круга интересов личности,Психологические проблемы связанные с трудностями общения,3,0
663,В процессе взаимодействия с клиентом терапевт может повышать самооценку клиента...,"Давая клиенту понять, что его проблема «как у всех»","Давая клиенту понять, что все его мысли, чувства и поступки совершенно нормальны и естественны","Воспринимая слова клиента, как шутку",,1,TRUE
695,Стадия изменения мотивации у больных с алкогольной зависимостью,Стадия отказа от лечения,Стадия участия в лечении,Стадия согласия на реабилитацию,Стадия принятия решений,3,FALSE
678,В социодраме событие представляется…,Каким оно было,Каким оно должно быть,Каким его видят протагонисты,,2,FALSE
677,"Какие из данных типов отношений односторонние, а какие двусторонние?","Вчувствование и перенос – односторонние, теле – двустороннее","Теле – одностороннее, перенос – двустороннее",Вчувствование – двустороннее,,0,TRUE
713,Сеттинг - это....,консультирование,договоренность о частоте сессий и длительности терапии,психогенная реакция,,1,TRUE
650,Назовите первую технику начальной стадии психотерапевтического процесса,установление контакта,принятие,стимулирование сознания,,0,FALSE
682,Какие роли обязательны в заказе на консультирование?,Формулировщик задачи и Плательщик,"Пользователь, Формулировщик и Проектировщик","Пользователь, Формулировщик и Аналитик",,2,FALSE
706,Цели психотерапии при лечении зависимостей:,"Увеличение стабильности межличностных отношений, повышение самооценки и самоосведомленности",Усиление контроля над реакцией на стресс,Уменьшение дозы употребляемого алкоголя или наркотика,Нахождение другой - «безопасной» зависимости,0,FALSE
710,В определение психосоматики входят,"физическое, социальное и психологическое благополучие",наличие или отсутствие болезней,"клинические, психологические, эпидемиологические и лабораторные исследования, которые освещают роль стресса в этиопатогенезе соматических заболеваний,связь патохарактерологических и поведенческих особенностей с чувствительностью или устойчивостью к определенным соматическим заболеваниям, зависимость реакции на болезнь («поведения» в болезни) от типа личностного склада, влияние некоторых методов лечения (хирургические вмешательства, гемодиализ и т.п.) на психическое состояние.",,2,TRUE
693,Цель психотерапии суицидальных тенденций в трансактном анализе,Поддержка Взрослой части личности,Деконтаминация Родительской Детской части личности,"Репарентинг, анализ игр","«Перерешение» жизненного сценария «Не живи!», антисуицидальный контракт",3,FALSE
708,Кто относится к созависимым?,"Лица, у которых есть химическая и нехимическая зависимость","Лица, находящиеся в браке или близких отношениях с больным химической или нехимической зависимостью","Лица, страдающие нехимической зависимостью - игроманией","Лица, выросшие в семьях, где один или оба родителя страдают зависимостью от алкоголя",1,FALSE
701,Важные психологические особенности работоголика,Стремление заработать больше денег,"Компульсивное стремление к постоянному успеху и одобрению со стороны окружающих, страх потерпеть неудачу, «потерять лицо»","Вытеснение личных проблем заботами, связанными с профессиональной деятельностью",Стремление получить удовольствие от работы,2,0
690,Выберите один из критериев алкогольной зависимости,Формирование алкогольного абстинентного синдрома,Невозможность отказаться выпить в пьющей компании,Рвотный рефлекс на прием большой дозы спиртного,Прием алкоголя как способ снять стресс,0,FALSE
664,"Для выявления внутреннего потенциала клиента, терапевт ...",Актуализирует обиды клиента,Актуализирует скрытые способности,"Убеждает клиента, что всё получится",,1,FALSE
681,"""Консультант"" -  это позиция наряду с другими позициями гуманитария, независимо от образования..",Наряду с позицией Философа и Социолога,Наряду с позицией Историка и Педагога,Наряду с позицией Клиента и Заказчика,,0,0
668,Раскрытие семейных тайн в ходе терапии...,Является грубым нарушением границ клиента,Нарушает ход терапевтического процесса,Способствует осознаванию глубинных чувств клиентом,,2,TRUE
729,Основой для работы психолога в групповом консультировании является:,иммобилизация инициирующего и поддерживающего конфликт члена группы,система реальных отношений людей,нормализация состояния жертвы конфликта в группе,,1,FALSE
724,Что из перечисленного не является психосоматическим расстройством?,шизофрения,эссенциальная гипертония,сахарный диабет,,0,TRUE
722,"В отличие от психотерапии, психологическое консультирование",позволяет клиенту осознать свои возможности в решении проблем,по-новому посмотреть на себя и свои трудности,всё перечисленное,,2,TRUE
652,Формирование чувства защищенности у клиента происходит на этапе,установления контакта,принятия,стимулирования сознания,,1,FALSE
716,Выделите классический психосоматоз:,нервная анорексия,нейродермит,депрессия,,0,0
659,В ходе терапевтической беседы терапевту следует,"Обратить особое внимание на внешний вид клиента, его одежду, прическу и т.п.","Обратить особое внимание на манеру разговора клиента; на моменты, когда клиент бледнеет или краснеет; на позу клиента; на уровень энергичности клиента","Уделить особое внимание содержанию рассказа клиента, вспомнить аналогичные ситуации из практики",,1,TRUE
714,Психосоматические заболевания - это ...,канцерофобия,агорафобия,"физические болезни, причиной которых является стресс",,2,TRUE
